Date,year_number,week_number,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,type,region,tavg
2023-01-01,2023,1,0.91938465400000002,5387230.96,3637781.6000000001,565260.08999999997,1580.03,conventional,Southeast,14.9
2023-01-01,2023,1,0.971661518,280671.66999999998,64252.260000000002,44778.910000000003,0,organic,Southeast,14.9
2023-01-01,2023,1,1.2855971340000001,1690099.95,120818.00999999999,1116964.5800000001,889.82000000000005,conventional,NewYork,9.8000000000000007
2023-01-01,2023,1,1.797939038,68021.320000000007,4294.8400000000001,10562.459999999999,0,organic,NewYork,9.8000000000000007
2023-01-01,2023,1,0.74356709099999996,257873.76999999999,192828.5,11446.91,28.620000000000001,conventional,StLouis,12.4
2023-01-01,2023,1,2.1798909809999998,6369.8400000000001,1208.28,2905.3800000000001,0,organic,StLouis,12.4
2023-01-01,2023,1,1.0918246890000001,128024.89,28700.98,81687.570000000007,20.43,conventional,Albany,4.2000000000000002
2023-01-01,2023,1,2.0674832159999998,2237.52,120.34,425.63,2.04,organic,Albany,4.2000000000000002
2023-01-01,2023,1,0.843901071,1178532.26,459829.91999999998,538434.23999999999,4077.1700000000001,conventional,PhoenixTucson,14.199999999999999
2023-01-01,2023,1,1.615283467,23204.200000000001,9846.3199999999997,5598.6400000000003,0,organic,PhoenixTucson,14.199999999999999
2023-01-01,2023,1,1.065436987,3655778.5099999998,1373362.01,1076023.21,15093.639999999999,conventional,Midsouth,13.300000000000001
2023-01-01,2023,1,1.5841468009999999,178763.32999999999,2506.3299999999999,52333.370000000003,39.960000000000001,organic,Midsouth,13.300000000000001
2023-01-01,2023,1,0.91587887300000004,123577.25,67107.289999999994,40179.440000000002,195.72999999999999,conventional,Boise,-0.69999999999999996
2023-01-01,2023,1,1.746878377,5091.4799999999996,758.50999999999999,3369.8600000000001,0,organic,Boise,-0.69999999999999996
2023-01-01,2023,1,1.3118046249999999,769116.53000000003,122554.95,316483.17999999999,1662.49,conventional,BaltimoreWashington,12.6
2023-01-01,2023,1,1.7920336400000001,39472.989999999998,475.74000000000001,8479.2399999999998,2.2999999999999998,organic,BaltimoreWashington,12.6
2023-01-01,2023,1,1.168053934,5978815.6200000001,3126017.3599999999,566413.23999999999,1084794.6200000001,conventional,California,11.199999999999999
2023-01-01,2023,1,1.8274648870000001,295496.52000000002,123403.28999999999,12492.58,1.45,organic,California,11.199999999999999
2023-01-01,2023,1,0.94543349399999999,251802.17000000001,74568.440000000002,112831.47,12274.58,conventional,Columbus,6.4000000000000004
2023-01-01,2023,1,1.883098162,6574.21,932.41999999999996,3363.3600000000001,0,organic,Columbus,6.4000000000000004
2023-01-01,2023,1,0.92474562699999996,565428.87,381161.35999999999,9251.0200000000004,43.090000000000003,conventional,Orlando,21.600000000000001
2023-01-01,2023,1,0.86083599499999996,40955.410000000003,15433.879999999999,1127.4000000000001,0,organic,Orlando,21.600000000000001
2023-01-01,2023,1,0.71815298599999999,5081084.7999999998,2230060.7599999998,925252.41000000003,69649.929999999993,conventional,SouthCentral,18.699999999999999
2023-01-01,2023,1,1.131755979,144154.29999999999,38710.949999999997,12117.129999999999,0,organic,SouthCentral,18.699999999999999
2023-01-01,2023,1,1.1171885829999999,556707.57999999996,296130.59999999998,37744.050000000003,108370.89999999999,conventional,SanDiego,15
2023-01-01,2023,1,2.1795530400000001,19581.009999999998,12284.610000000001,954.52999999999997,0,organic,SanDiego,15
2023-01-01,2023,1,0.70013669000000001,116097.8,76570.759999999995,13803.700000000001,20.079999999999998,conventional,Wichita,7.5999999999999996
2023-01-01,2023,1,1.281420714,2214.3499999999999,1381.8099999999999,2.1200000000000001,0,organic,Wichita,7.5999999999999996
2023-01-01,2023,1,0.965414157,38415542.829999998,16771415.960000001,10689722.890000001,1770323.1399999999,conventional,TotalUS,4.5
2023-01-01,2023,1,1.507442704,1495116.1799999999,361857.20000000001,296812.42999999999,64.239999999999995,organic,TotalUS,4.5
2023-01-01,2023,1,0.93227833400000004,301039.08000000002,79052.940000000002,172781.06,14703.540000000001,conventional,CincinnatiDayton,7.4000000000000004
2023-01-01,2023,1,1.812945104,6817.1099999999997,14.619999999999999,5110.29,0,organic,CincinnatiDayton,7.4000000000000004
2023-01-01,2023,1,0.89040526099999995,462961.32000000001,84100.970000000001,231640.04000000001,76079.119999999995,conventional,Detroit,3.8999999999999999
2023-01-01,2023,1,1.5032867759999999,10723,176.66999999999999,4541.7799999999997,0,organic,Detroit,3.8999999999999999
2023-01-01,2023,1,0.90897908900000002,179340.84,95433.509999999995,43476.139999999999,483.51999999999998,conventional,Roanoke,13
2023-01-01,2023,1,1.6315103390000001,6280.0799999999999,55.270000000000003,2694.5100000000002,0,organic,Roanoke,13
2023-01-01,2023,1,0.96300165000000004,203845.45000000001,34796.150000000001,65237.75,76228.279999999999,conventional,GrandRapids,2.2000000000000002
2023-01-01,2023,1,1.5138421929999999,4539.3500000000004,45.229999999999997,754.57000000000005,0,organic,GrandRapids,2.2000000000000002
2023-01-01,2023,1,1.1190735359999999,403958.12,162765.32999999999,79068.679999999993,527.25999999999999,conventional,RaleighGreensboro,15
2023-01-01,2023,1,1.6490238800000001,23809.080000000002,559.94000000000005,2505.25,24.539999999999999,organic,RaleighGreensboro,15
2023-01-01,2023,1,1.0970019179999999,2976316.6600000001,1332069.3200000001,173709.75,854093.85999999999,conventional,LosAngeles,14.300000000000001
2023-01-01,2023,1,1.9059934919999999,103804.41,54506.230000000003,4326.8699999999999,1.3799999999999999,organic,LosAngeles,14.300000000000001
